10000 100000
3260 5462 1
9661 295 4
7987 8043 5
8468 6957 2
887 931 3
3490 6453 6
1156 6960 5
9039 3660 5
6195 9024 6
17 3945 0
2396 7996 4
4338 7296 2
2104 6848 6
1912 1980 4
1376 7452 4
598 9712 3
4801 8617 0
9373 8826 6
6923 5727 2
6602 6620 6
6465 9338 6
8475 750 1
364 3816 2
8977 9547 4
1128 1642 0
3442 721 5
7328 8276 4
1998 9959 3
119 5779 0
1721 2228 3
6252 7582 5
9886 1078 6
3280 4206 2
1911 3356 0
8399 3088 4
8470 8762 6
5809 1248 3
2770 318 1
4214 7532 3
174 3116 6
4131 3268 5
1846 4956 5
9599 5978 0
3661 5236 5
2798 6441 5
7498 5583 3
8178 8757 1
2727 8988 5
7536 3103 1
2655 7205 2
9277 5745 2
3443 4614 5
1503 7150 0
3210 6029 1
6463 2190 6
8625 2555 2
9706 2247 1
1522 4465 0
9128 5859 0
6459 7687 3
3303 2062 0
1773 4131 4
3824 3556 1
5146 3857 1
216 7079 2
5495 924 2
5973 3429 2
220 2959 5
4448 1504 4
7253 3041 0
361 19 4
1651 7786 6
502 8655 3
648 6935 6
570 7391 3
8305 4605 2
7447 2365 4
5 7961 2
7300 2238 2
867 4085 3
288 1089 4
2356 2663 1
3125 1199 2
1883 6660 1
9772 7793 0
5270 3313 1
704 2604 1
2338 9126 6
4284 2742 3
1580 6453 2
7525 2596 0
9564 856 3
9605 8623 6
549 3382 3
3294 1639 2
5293 1957 1
2334 8329 5
2711 685 3
6733 5570 5
2652 5171 4
8266 6348 0
2833 2133 5
1893 7645 6
9670 1503 5
1539 5529 3
5904 6017 1
4599 19 4
1494 4773 6
1385 7649 1
336 977 3
206 3617 5
3331 1250 3
9066 2521 6
1413 9894 6
60 194 4
1242 9373 6
9522 7260 3
1305 626 2
4454 617 6
2972 3123 6
2452 8321 1
5655 5140 5
9918 7023 6
8539 5139 6
297 2382 1
8857 3203 6
1585 5647 5
6144 9738 0
6153 4668 5
2671 6041 2
9537 1984 4
5471 3007 3
3369 9276 2
5216 3361 2
7555 4914 1
9279 4770 5
7268 3929 4
9445 8516 1
5499 7612 0
3380 3249 6
125 3104 6
2595 289 3
2039 9269 6
3439 4028 0
6436 5341 4
3417 7164 2
8970 9569 5
7768 5818 3
7479 1015 3
2234 9785 4
3834 7981 4
2233 5082 6
3900 5566 6
8140 9160 5
7612 877 2
1998 5423 1
6828 3571 6
7937 8915 4
7599 6213 1
8523 8231 3
7521 6967 6
3445 3958 4
1606 3878 2
7005 2219 2
6035 1560 0
537 1823 3
843 2523 5
3301 2620 4
3200 5289 1
8223 2615 3
992 9892 1
2114 5067 0
5515 1153 5
3462 2576 2
7159 2386 0
5055 9866 3
3224 8886 5
7080 1216 3
7110 4900 5
7404 2738 4
3941 8906 2
481 8092 0
4179 8800 3
9599 2837 3
1034 9062 4
5778 4552 1
6439 7397 0
3789 1349 3
5284 8501 6
534 5791 3
1152 160 3
2101 5764 2
2238 5796 3
1619 9886 5
4695 6733 3
2510 8846 2
4418 552 3
4741 2566 1
6164 5215 2
642 5684 2
4175 3503 0
4311 2210 2
3326 6387 3
8938 3403 0
7884 1995 3
7282 7238 6
1912 2353 1
890 741 0
8508 6652 4
698 5129 4
1800 8803 4
255 7166 1
4914 252 3
4439 2181 6
4506 9531 6
632 7049 4
7288 9248 1
5969 1996 1
3366 1328 5
6386 700 0
6394 1261 2
3663 5661 3
6813 5592 5
9864 730 3
5432 5881 6
2736 2840 5
4458 9227 3
9706 9841 3
1309 1379 0
1435 5502 6
2678 3927 1
748 4659 4
7754 9396 6
4899 1997 2
3116 4287 5
3090 8952 6
3894 839 4
5438 5771 3
784 9833 4
1434 4228 1
7930 134 1
5992 2161 3
5962 1559 5
3353 1509 6
8280 1527 3
6771 1402 0
5815 1749 5
1434 3985 0
9884 1798 5
5697 4044 4
9889 6148 2
4724 8781 2
1063 2019 0
7540 1383 5
5598 6806 4
2570 9889 1
7720 8879 4
6389 316 1
8311 4314 4
4936 1371 1
2443 2482 5
4035 495 5
7691 3642 6
6380 1377 3
8055 2416 2
9534 5152 4
6579 3362 4
5203 8859 1
387 4509 4
5283 2391 0
1319 8914 2
485 3504 3
5385 3917 6
1498 5743 0
2577 6023 6
3426 2928 0
3790 5905 1
6109 1669 3
5553 4919 4
5886 5507 3
9840 6542 0
2603 3424 0
1409 1307 2
666 1808 3
2065 5951 2
6654 6835 6
7738 7681 6
1524 2832 2
6276 6141 3
2825 610 6
7575 6450 2
2545 8821 6
9894 8381 4
1925 8433 4
1560 0 3
8074 7733 2
7455 2779 2
8413 3955 0
9995 1043 5
5604 1179 0
1609 373 6
2904 7874 2
1974 8805 2
2388 4577 2
256 586 6
3638 5643 6
3000 2716 0
1362 7799 1
6908 947 3
9822 7148 1
3152 8088 2
6715 775 2
891 7473 2
8374 7505 6
5086 3293 2
3005 3516 2
9586 7081 6
6996 1387 1
9914 4449 3
9646 1984 6
6533 8717 2
7412 6034 0
866 3289 6
8270 9558 3
8677 1372 4
5994 9532 5
24 993 6
5213 2920 5
9354 9324 5
5786 863 2
9707 1803 3
8783 7025 3
3682 6342 2
8661 8484 4
2116 8297 2
4798 9054 2
4025 9651 3
1190 7341 2
8645 4733 2
512 8945 3
2202 9221 4
9549 3033 4
1726 8192 4
4427 7318 3
8869 1047 4
891 1061 5
1983 1792 0
4693 5786 0
1217 2744 0
4990 3733 3
5253 3999 5
2096 2600 0
9412 6277 3
2335 6932 1
5167 6761 5
2004 1863 6
5680 9831 3
329 9497 1
6337 5270 4
2191 7265 1
945 589 6
2092 2970 2
427 6080 6
1690 117 3
2901 874 2
1650 4277 0
6938 4070 4
1453 3071 4
891 6480 6
817 2653 4
3760 66 3
2853 1175 4
8880 9374 1
130 5539 0
6368 7287 6
5604 5495 5
6790 648 6
4848 741 3
461 766 3
8378 5249 5
6421 2518 5
9637 8059 2
4404 2802 4
7345 5537 6
7927 959 1
5968 4896 6
1991 298 3
6110 1535 3
735 7141 4
6059 2286 0
7435 5526 1
5014 1161 5
4906 6500 1
7355 9245 2
9700 8589 5
2670 1694 2
7434 8503 3
4168 9102 2
1472 7925 6
8328 6669 3
8846 9979 6
1536 6339 0
962 2051 2
5594 208 0
6326 7832 5
6214 1905 0
8625 9782 0
4607 5732 6
9766 1051 2
5599 6138 4
7248 2911 5
6403 4986 5
4840 361 3
7600 2340 1
6158 7986 3
5483 8947 4
5048 7361 6
737 5086 4
6753 7762 1
9875 5287 5
10 8304 5
278 5652 2
6703 5113 6
1931 3367 0
479 4986 1
3952 1601 3
670 7 6
9763 2213 2
2856 1542 5
5550 2293 2
6573 4013 3
3014 9952 4
1370 2138 2
249 7799 0
7395 8921 6
100 6517 3
8564 9865 5
111 397 2
9254 5204 2
1876 6818 6
1165 9498 1
848 5946 5
6367 4121 6
2506 61 6
753 5242 6
5351 40 5
4060 728 6
6068 2117 3
301 5939 4
2490 8374 5
2166 5595 1
3978 1815 5
2617 3326 0
4356 1140 1
5045 5272 4
38 7172 0
2390 5367 0
2146 3820 2
1008 9752 4
705 8577 4
2153 1151 3
3868 9747 4
5706 1606 1
3648 3088 3
4039 7415 1
3446 1073 3
1338 1483 3
1902 7021 3
4258 5754 6
1176 3070 6
8234 969 3
8395 7611 0
2611 7387 3
7881 9038 6
7442 102 6
117 6449 2
312 2208 6
9794 1183 4
8102 8395 1
277 1632 0
7008 5151 0
6658 1968 6
3773 668 3
4332 6262 4
6772 5528 4
2861 8548 3
1508 6826 2
4207 4232 6
4697 1122 3
4553 4328 1
2291 8743 3
7392 1371 4
2948 729 3
3163 81 2
2622 633 4
8910 1844 5
5149 2728 4
8271 4842 2
1136 8210 0
8991 7857 1
9480 1859 5
4726 7468 4
1987 6846 4
5692 2567 0
6752 8583 5
4644 6159 4
5698 2525 5
2365 7646 4
5381 1317 1
4874 6817 6
7491 7939 1
7062 5211 4
1207 2076 3
3793 1557 2
8255 1358 4
1009 5757 3
6404 7077 3
1863 5934 3
7125 8487 2
5389 1802 2
1407 5429 5
1678 8955 0
6159 9404 0
8647 3162 0
273 2526 4
8978 4006 0
1986 5068 6
8023 7588 4
4021 3622 6
8682 728 3
3500 7380 1
3518 4376 1
7710 619 5
3123 4927 0
6153 4953 3
1374 6206 0
28 8342 5
4201 8228 1
1959 6263 2
9305 8061 5
4160 7007 2
502 3478 4
5116 8664 6
5918 5102 4
5500 3489 1
2335 6395 3
4052 312 0
5473 1107 3
4543 2383 0
1708 7912 0
4911 8552 1
5081 7202 3
5855 1158 4
6376 3711 4
4314 128 2
223 1271 6
1032 2100 5
1129 2185 4
3214 2314 5
3525 4521 2
3765 872 0
2066 3925 1
2439 475 2
7332 8379 1
1533 3948 1
9158 7807 0
5589 8069 1
826 8647 5
9903 1615 2
1966 804 4
1576 5995 4
2387 4086 0
5025 423 3
5327 7030 2
1384 531 3
5191 1923 6
6278 8631 3
7541 5915 6
739 610 5
4419 5105 1
1630 1932 1
5940 7356 1
1563 3204 6
5323 3353 0
6867 8110 1
6623 939 1
4063 3578 6
336 1161 2
2305 5556 4
9865 4612 4
6633 9352 3
1262 4139 4
8518 1112 2
8156 8103 5
4792 6015 1
3673 8114 4
9243 908 6
2664 2261 2
4367 5783 6
2744 5610 0
9330 284 1
5709 1321 3
1038 2369 2
5521 1328 4
992 2629 1
2267 8825 6
4848 315 4
999 9120 6
2653 8134 4
858 2494 1
725 5140 5
8705 9758 5
9978 2294 3
2373 2625 0
8528 9283 3
1467 3239 3
2594 245 3
8284 1463 4
5540 5618 1
5826 5817 6
3045 9542 1
2473 6766 3
91 1056 3
395 1841 0
7905 1740 2
3505 6040 3
5768 182 2
1013 6580 3
8242 5572 3
3903 7159 4
3006 1113 0
1904 112 1
587 387 1
3853 154 1
6896 9233 6
2317 9076 3
2486 8625 3
213 8472 2
1579 985 2
7 2973 2
7529 9557 0
550 2075 1
2017 2759 4
3345 755 4
7609 579 6
7561 4174 4
5399 7677 4
4945 8212 5
8372 8450 6
4038 9674 4
7250 9153 6
8765 6367 1
7914 4018 1
2209 686 5
2349 4649 3
628 7555 3
876 6013 5
858 5150 1
3406 1738 4
9215 7690 3
568 2556 6
2949 702 5
1243 3890 5
8090 9073 2
1444 3197 1
7175 2319 4
1303 244 3
5005 4137 0
4569 563 0
9554 2137 1
1330 4020 4
2191 5363 2
370 158 1
2 3545 5
4384 8290 0
8588 5767 3
8885 1675 6
6791 5181 3
9288 9931 4
2197 9686 0
4401 3311 1
7221 2910 1
2224 286 4
2616 1458 0
2377 2255 4
3834 1134 1
1383 5243 4
2209 9579 3
4641 2419 0
9775 5795 4
5812 9875 5
5073 2875 3
3975 9788 6
5842 6579 4
8029 1835 5
2701 1172 2
691 8610 1
6034 1936 1
2011 2257 4
1050 1464 6
9714 2834 3
6652 1477 4
3068 2628 0
838 8234 2
8896 6887 2
485 3202 1
7033 8062 6
3306 1684 4
1109 3784 6
4088 2613 1
986 2708 6
5742 1912 6
6369 2338 6
9057 3146 5
7399 9393 3
3308 6187 3
379 5303 2
3611 9429 1
7152 7535 1
8697 9039 6
1894 3606 1
7702 206 6
6687 8055 2
7841 1712 3
2549 1275 3
7356 5036 2
8765 555 6
2146 3458 0
8146 6218 0
1446 6069 2
1299 6401 3
9307 761 6
2266 8679 6
4906 245 1
4978 4065 0
5318 6361 4
3547 8089 6
2855 1981 3
3701 2674 4
8834 9071 6
688 3952 6
4979 1694 2
3270 5025 3
4181 4736 5
5452 9972 6
4819 9766 2
1470 2819 0
5393 9329 3
7734 288 3
3772 7915 1
8833 6876 4
9734 4359 5
9125 6381 4
7209 2486 6
2569 8480 0
8168 1296 3
5020 8803 6
1005 1810 2
8067 5242 2
6145 1346 2
4648 8076 5
6780 3654 0
5351 7002 1
1098 8179 2
9511 9114 5
8148 6607 5
1692 708 5
5 2888 1
6859 1804 3
1392 2690 3
955 8694 5
670 6018 1
6976 1469 4
6496 4208 0
2595 1017 0
8354 839 4
2154 4813 4
5970 4026 4
4270 1178 6
1423 4413 6
2132 419 1
8053 9960 0
9282 8203 2
9966 636 0
9381 18 1
447 6917 0
2826 2085 3
9166 9636 5
8595 234 6
1805 3662 6
2534 6208 4
7730 4781 4
7596 2098 3
3290 3803 4
4880 5430 6
1901 9086 1
5075 8467 0
7251 3597 0
7057 5588 4
2588 1025 6
9624 5768 2
4425 1080 4
965 1426 6
4004 8757 0
1196 5 2
8871 7427 0
170 2708 3
717 2964 4
5236 693 1
791 7359 1
1230 8289 6
2574 8646 0
1435 3911 0
8927 7188 0
570 1570 5
2890 1958 4
1197 7947 5
5761 5186 5
5193 1311 5
5339 9492 6
1282 8441 5
3506 3911 5
9678 4422 3
477 2074 4
7112 6962 5
1818 7500 3
1734 6253 6
1357 5300 1
1060 4378 5
9054 6965 1
4138 1321 0
6835 9577 1
5355 9109 3
937 2009 4
8728 7679 3
8189 5503 1
9212 9937 3
2145 9647 4
882 8938 6
4269 7759 6
1712 7299 0
2680 5835 5
2311 7773 4
2486 1221 1
3685 2294 4
369 5015 5
6753 459 6
9778 3548 4
1367 529 0
6 3621 3
1935 7333 5
3654 71 1
6801 7911 6
1366 1364 4
4532 7667 5
4041 4370 5
7107 9973 2
1092 5905 1
5056 8309 0
4338 618 2
3140 7798 0
1901 9025 0
5214 5644 6
7058 4651 1
2426 3418 0
7801 7740 1
4846 2996 6
2273 9225 1
4296 8792 3
4021 2957 1
1604 1972 3
7020 866 2
9623 9553 2
8464 7399 2
8609 920 0
1726 7778 1
489 406 4
2324 7114 5
8336 6862 1
7981 3462 4
6010 5052 5
1766 3190 1
9220 63 4
2472 4262 0
744 8142 6
9377 8623 2
272 4383 6
8624 8413 4
2517 5362 4
4959 9283 5
2359 9176 1
7108 5291 1
2698 225 1
5640 7576 1
1782 4180 2
8112 3485 2
6398 7216 5
1472 713 5
2751 1657 5
9464 1035 4
2664 6340 0
2012 3235 1
120 6425 2
8592 1826 4
3570 9301 4
9012 2939 0
1283 6057 2
9487 404 6
4702 1937 4
9006 947 2
2271 4497 6
9861 2589 4
6734 1267 1
905 2269 3
4975 917 5
5385 9704 0
8879 1940 1
265 6543 0
361 2595 4
2200 8242 3
2070 9827 2
6851 840 6
1219 5166 5
2858 8781 4
7453 929 6
552 4210 1
9017 2137 3
934 6151 5
4928 415 2
758 8009 2
3170 2215 6
8201 9564 4
1332 8427 4
6828 9082 2
8965 6497 6
3618 250 5
6407 9784 1
3086 2448 1
7094 3017 6
5729 5940 3
9982 7277 3
3369 9467 1
261 8366 0
9392 7417 4
3403 7552 4
5176 3874 4
8264 7280 3
7377 486 0
8846 963 3
5496 9772 0
6408 982 3
1594 9033 1
2750 1454 0
3624 5658 5
2043 1325 1
1710 4232 6
839 8031 6
2261 4311 3
1312 5379 3
1469 7250 2
8390 927 2
2355 5810 2
736 6420 5
2781 1588 4
8564 4214 4
687 2891 1
2659 7045 0
2810 5808 2
6480 9474 3
7333 1628 0
2865 2062 2
9036 2137 0
8464 6738 3
4333 4955 6
2155 6892 3
8327 1730 5
2441 4745 3
5754 5662 6
3753 807 5
360 7143 2
157 1873 0
8037 1214 4
4773 7808 5
1406 492 1
9797 8028 3
8951 6223 6
839 4207 1
9014 9541 4
5391 194 6
8517 8751 0
579 9355 0
7275 8054 1
3722 9752 3
3616 8781 2
4609 299 5
2732 6940 4
8960 637 6
77 6380 0
3867 8044 4
192 2076 5
8692 8234 6
7985 6985 2
3789 6034 4
4919 1500 0
1388 7338 6
2320 5177 1
8088 8084 5
6194 447 0
8528 3383 2
5096 5463 2
631 4658 6
5942 2196 1
804 1878 5
2361 7565 1
5495 6458 6
6779 8993 1
5011 7029 4
7159 2433 1
1984 1867 2
3211 9051 6
3821 9396 5
9650 2194 4
4105 7401 3
920 1594 1
6115 5889 4
5940 2386 1
2316 8609 5
1742 8060 4
7296 3480 6
7452 8455 5
5541 6286 1
7563 1623 4
8970 5626 6
1931 6269 5
2353 2669 6
8588 2980 1
4634 475 6
2028 1695 3
6341 5069 0
1369 3016 1
7369 2626 3
1848 2982 6
1997 2426 3
9890 4612 0
2347 7036 3
1674 6545 4
3366 971 5
4475 7136 3
8448 97 5
9392 6054 4
8846 5562 4
3509 3556 3
713 2619 1
1955 7560 4
6699 7971 1
1054 9271 6
9017 5267 0
4151 3338 2
4217 4848 5
427 7675 5
221 3534 3
8470 114 6
6008 1988 1
2804 921 1
1500 5368 1
8410 6338 0
6646 5045 1
4945 9210 4
7026 2559 5
4121 8787 4
9945 1631 0
5539 2790 6
8458 6865 5
8708 8100 5
2704 4742 5
437 2576 1
2059 1178 2
2387 1362 0
4091 9435 0
724 6962 4
1189 5800 6
218 9032 3
4232 3587 5
7739 8597 6
827 1232 6
464 7097 0
6848 9107 1
1331 8084 1
5203 2439 2
9890 1915 0
737 4015 2
9099 9426 0
7325 7673 0
1363 5079 3
3885 7716 3
1571 9273 6
4257 3645 0
6246 5919 2
3123 1140 4
287 7573 2
6492 3308 0
5229 5599 1
8381 8370 3
2633 7649 4
6780 4654 3
4564 2567 1
1515 974 1
9975 7952 1
778 4215 3
713 1784 6
5358 3363 1
3375 2270 3
2568 2401 5
6558 7950 1
5479 7438 6
3431 7865 5
796 3307 5
8946 237 3
5025 6736 1
2561 5098 3
7403 9954 4
5452 4111 3
668 7079 0
2229 1705 6
7305 6079 4
2025 6397 3
1468 5625 2
1136 512 5
3473 8033 1
7687 6684 1
5538 1506 6
3374 1902 4
1136 8523 6
6258 8458 4
7577 6543 5
964 3840 2
1112 1471 3
5118 5545 6
7252 9227 5
2288 123 6
594 3836 3
8838 8603 3
6838 9386 5
820 765 3
8482 2326 2
4916 1263 2
2754 5651 0
5039 9797 3
4658 6836 5
2672 1276 1
8149 7442 0
9486 2977 4
440 6223 0
5485 2252 6
97 9279 4
3986 3815 3
9034 6713 6
6162 9835 3
4732 1288 0
5475 5141 6
9172 8571 2
1798 4944 2
3240 4357 1
4357 2477 5
3703 9011 5
9615 5787 3
5444 4221 5
1082 443 1
4020 2493 6
1196 832 1
1571 9108 3
1927 9386 1
4393 3809 1
2145 868 3
1884 952 3
9226 1911 3
316 7693 3
2450 373 1
4594 9963 6
9484 4820 3
6630 6515 5
8419 7231 3
2357 1858 0
1234 4448 3
1858 421 2
2526 1612 5
6249 1823 4
5466 2580 6
3254 6383 4
2677 7723 2
7173 4331 3
8484 8193 4
6866 6693 6
8298 8885 4
8415 7719 6
5854 1561 6
1575 4430 0
909 8732 4
9111 5669 4
9619 6604 2
6330 4288 6
1510 2406 2
3425 3425 5
6534 5252 4
6313 2910 2
3058 5881 0
3063 4933 3
8075 6307 4
6012 4783 6
5906 5783 1
2367 3613 3
9542 1500 1
32 5887 4
6161 8908 4
232 1271 3
247 607 5
225 4811 4
5926 2102 6
6411 191 2
9157 5737 0
887 4136 3
1979 644 0
5968 569 4
762 7532 2
1395 9061 5
6492 6866 4
1615 5584 3
7407 7867 5
2313 4978 3
19 4996 0
9385 9197 3
9289 2601 2
4352 5888 5
7122 6114 6
8438 4795 6
8979 1986 3
1288 4298 5
5506 275 6
2160 5018 1
5693 7386 3
6236 2339 5
2683 941 6
4736 1346 2
5988 8693 3
5593 4577 2
2916 2604 0
3575 9322 1
8436 2615 3
3437 6890 4
1229 5506 4
5168 3064 4
5547 238 0
7492 3406 3
3211 2974 6
1973 5403 5
4526 2157 1
319 8196 2
6339 1887 2
5151 678 5
2721 6554 2
9814 1400 0
1097 539 0
6291 3775 2
578 474 3
6496 485 3
4218 5212 0
6761 6265 2
9063 1995 6
2736 606 3
6616 6171 5
175 5550 2
5417 8643 1
3747 499 0
2534 8399 5
1501 6640 0
992 6168 5
6983 7218 1
1668 3944 6
3402 305 0
4864 1696 6
9343 3850 4
5260 6551 3
1008 3393 4
979 554 3
501 9863 4
7021 4577 3
6331 3815 2
2536 2828 4
4990 7386 5
7383 1588 4
776 1699 2
2428 7535 3
3684 4984 3
3192 9577 3
1836 3491 3
4519 6168 3
3889 3734 5
6869 7596 1
1379 7923 6
746 7976 5
408 3315 0
5020 6711 5
4555 5994 5
3895 1943 0
1256 9093 2
4793 3654 4
9759 1713 3
3648 141 5
4212 4519 5
6903 6806 4
2712 5334 1
836 2977 5
5117 1507 1
1034 1839 0
2482 2866 2
9798 3766 2
3057 8028 3
25 1877 0
8331 1448 2
5328 6978 4
3320 3007 2
4288 1018 5
6466 9918 0
6856 8865 0
8173 3098 4
3462 2886 0
7245 2015 4
8224 5691 2
1450 9916 1
8732 8569 5
875 3058 2
4916 769 6
7000 9982 5
855 6065 6
1964 2628 6
1087 1981 6
8037 7650 2
2223 1304 4
4974 7517 2
5517 4347 4
231 7739 2
9079 560 3
5418 3409 3
3736 6115 1
6192 8140 5
1151 9841 6
2670 1908 6
2204 9 0
4642 7429 1
8648 9554 2
6476 9059 4
2286 3799 2
5942 2202 1
9607 2631 3
9636 8736 6
3260 8889 1
9400 6422 4
3965 9499 3
4654 909 4
2117 5114 1
5125 8543 3
8582 8077 0
9434 9228 0
2156 3197 3
9848 7642 3
2992 9424 2
8283 5158 0
264 7982 0
7153 7090 3
1629 3358 5
5441 9274 6
9551 667 6
7095 1444 0
156 3901 2
183 8648 4
4259 6365 1
6256 1727 0
3331 4741 2
1326 2446 5
6397 332 0
2143 6442 5
4209 3312 1
6791 9762 0
569 3618 3
7278 741 0
5475 7988 0
9462 6896 2
5826 4095 6
892 643 3
3797 9470 2
3718 6853 6
1630 8877 4
1881 3287 6
3083 6239 2
1304 2732 3
2747 69 0
5392 478 0
1807 3004 5
8608 5640 1
8011 3074 1
4388 797 2
8781 2000 1
6753 8178 4
1166 8500 5
9806 748 0
6364 1013 6
2120 293 5
879 4584 0
2790 1634 3
415 9827 6
5495 7912 2
1969 2230 1
2624 3986 2
7837 2648 4
676 1788 6
650 9596 1
5546 1318 5
7453 4361 3
3489 3574 6
2896 8490 2
6355 3066 3
789 3880 3
5005 1645 0
1042 4253 3
6942 1979 0
4019 2280 6
6332 8599 4
5593 2640 1
5784 2145 5
3645 4044 2
1714 8480 0
5920 3216 6
2086 9082 3
726 4055 5
5638 4157 2
4402 8159 1
8003 6841 2
7137 7103 1
20 9936 1
8146 8924 5
4296 4158 1
7594 3027 2
2292 2171 0
2672 720 3
7789 2294 5
9394 2544 4
9818 8489 3
6313 2189 6
4448 6326 1
5147 8127 6
2093 9450 4
8047 6994 6
5828 3235 2
8741 4833 0
3837 9439 2
2410 5810 0
9324 2149 6
5527 2830 1
7198 599 3
4830 3079 3
2280 684 2
6353 3578 1
1130 440 4
7199 8897 1
3615 3651 5
5168 8217 4
8887 1409 0
1298 4707 1
430 8692 2
3410 1173 3
196 7055 4
1157 1440 6
304 827 0
717 2446 5
9962 1662 4
7489 1730 1
3982 8606 0
1946 1778 5
6818 5570 5
9118 2988 4
4250 7852 3
1591 3068 6
1249 6709 3
710 3745 6
5063 2310 0
8493 2690 2
9211 9506 3
9406 2020 1
6299 3787 1
4094 234 2
9415 4003 3
8754 6609 4
9080 839 1
9283 893 5
6831 4472 0
64 4508 4
3367 1438 5
4932 592 4
6124 7336 1
2519 6889 6
1543 8581 6
392 478 6
9872 3484 2
1088 5948 5
5829 4560 1
2446 826 5
4052 489 2
9565 3171 5
2188 9010 3
1133 148 3
3491 9390 4
9473 881 3
3470 2146 1
9401 378 6
6998 6270 2
8319 396 2
1684 9227 1
4086 4369 4
9346 1775 3
2406 3114 0
1699 2742 0
6865 7636 4
1327 5587 1
2589 3831 4
3952 7274 2
7755 3533 4
5242 2038 1
8811 1738 4
3990 8004 0
5193 226 5
2574 3609 2
1193 2665 1
4902 2099 4
3722 6066 0
8255 8942 0
1355 7402 4
7982 2439 3
6104 8320 5
5704 2565 0
3436 6636 6
797 2906 0
4721 1248 1
3638 3125 1
2793 357 2
1654 9614 4
6311 5887 5
8212 7789 3
9696 1214 0
7955 697 2
3831 2280 3
4439 221 0
8938 3228 1
7612 2862 3
566 3893 4
9645 8096 5
8486 96 6
5912 1357 5
1362 2834 3
2003 3564 4
5511 5106 5
9157 4141 4
9015 9737 1
3525 3405 2
4608 1978 4
4243 919 4
8848 4473 3
1002 9966 5
6990 3583 0
3829 6774 2
128 6953 1
8894 2232 5
8870 5700 6
2842 238 0
8592 1388 5
274 607 3
6111 4272 0
6601 3130 4
7947 2837 1
9361 2427 1
7827 6285 4
3548 5049 4
9240 5389 4
8373 9476 0
6002 3795 4
1615 6619 4
2583 2499 0
2842 5777 2
5526 9974 4
7545 8839 6
5663 3924 0
1969 6290 5
3853 269 0
6330 4800 0
1815 4683 6
2632 3099 2
9747 1221 6
5174 6186 2
4418 1563 6
5752 6515 6
3568 2342 6
6993 8502 6
9776 8923 3
3199 3645 0
7026 3156 2
4300 8725 3
754 1746 2
4560 8021 1
5932 9 4
2671 2492 2
9516 6339 3
520 79 0
926 1073 2
8311 5619 4
8866 8154 5
7010 2060 6
4981 1847 3
7842 1716 0
4348 8824 4
8829 1614 1
5253 8942 1
4377 7714 4
7723 7419 4
6445 5342 1
6997 4643 0
1230 9095 2
1360 802 2
848 6107 5
7756 465 4
711 6194 6
585 3153 1
6594 901 6
7210 7125 3
2122 3791 3
3727 8304 1
8259 1385 1
1530 1011 1
7481 2168 5
4557 7912 4
711 6671 3
3141 6089 5
9711 1661 5
6883 4449 4
9055 2145 0
8601 3027 2
8428 1823 1
4459 6054 1
2663 78 4
9500 7247 6
1454 7250 2
715 1178 4
4511 7328 4
7835 2770 0
6578 4820 4
572 7728 0
8718 5434 0
2487 6779 5
6138 8600 1
6074 2933 0
260 9045 4
9473 7303 1
4046 4247 6
6236 9921 3
4063 5020 5
7348 4212 4
2120 7433 3
3013 9342 2
9313 4310 4
7396 4954 0
4874 447 1
3787 7576 6
1088 2979 5
6405 8327 4
4131 4292 6
5495 4326 1
703 3226 4
158 4347 6
3028 853 3
4814 1129 5
9627 753 3
2031 9923 6
5868 2014 3
4430 4211 4
696 8910 2
8671 5370 3
6186 4774 5
4284 281 0
5757 1933 4
107 829 1
3284 6284 3
3965 556 5
7485 34 4
2667 7470 0
7475 1427 5
1763 9732 1
7912 4193 5
1190 5484 2
3683 2219 3
1018 8159 4
7202 11 1
2105 5425 5
6376 5682 6
3731 3913 6
35 5723 4
2163 8140 0
7826 8203 1
8688 3308 2
6799 4961 4
1828 5376 0
5877 5980 1
1920 907 5
342 6430 2
54 941 0
8290 8957 3
2285 1049 4
5487 8320 4
1787 2637 0
8187 8271 5
2131 8767 3
2049 5328 4
8488 5474 1
6998 7579 1
930 8863 1
7507 1465 1
9266 6991 3
3471 3196 4
6295 2547 2
9877 555 0
4792 2885 2
1763 4031 2
6247 8282 3
62 352 4
65 3775 3
3754 1609 2
8414 9427 0
1111 1566 2
2934 5311 2
6485 904 4
2151 602 2
3208 7726 3
4002 1211 5
8152 1022 2
9275 6707 6
306 7339 2
2664 8659 3
4186 730 4
1726 8390 3
2589 6255 2
6437 2452 5
6667 6553 3
1655 3435 4
7459 5689 0
4039 3298 0
7094 4845 1
5216 6614 4
909 1699 1
894 7265 4
9144 4492 2
463 8276 6
2605 4130 1
1985 3958 3
2336 2283 1
2324 3414 6
1627 4862 3
4307 6108 0
8951 2507 4
3363 3806 6
1556 2293 6
4551 6921 5
9586 6836 2
9458 8360 1
9697 7866 1
9537 3395 6
134 5873 6
1878 8107 5
5924 6067 1
3967 7037 3
43 9676 0
2555 5873 1
8537 4914 3
3270 3607 5
5892 4170 4
3602 2787 5
9370 8211 5
9249 1412 6
1646 1833 2
192 8281 5
1107 5062 6
1638 9982 3
6248 9097 0
868 8929 1
9032 2831 6
9915 9079 0
5170 9480 0
3527 6365 4
6772 5644 1
5865 2210 2
5785 4897 3
5610 1602 3
6132 9270 1
3390 2882 5
9330 4599 5
3772 5070 3
563 460 4
2681 5457 3
